# !  MKO filter system                                                                                                                                                                                    



#   t (Gyr) =  0.001
#---------------------------------------------------------------------------------------------------------------------------

age_Gyr  M_Msun   Teff(K)   L/Ls  lg(g)   R(Gm)   D      Li            J             H            Ks        Lprime             M'          
0.002  0.0200  2477.   -2.48   3.74   2.20  0.9950  1.0000         8.793         8.323         7.861         7.262         7.281  
0.002  0.0300  2609.   -2.23   3.75   2.65  0.8500  1.0000         8.207         7.727         7.288         6.744         6.753  
0.002  0.0400  2747.   -1.96   3.70   3.26  0.5100  1.0000         7.583         7.087         6.682         6.182         6.176  
0.002  0.0500  2790.   -1.74   3.61   4.03  0.7600  1.0000         7.072         6.574         6.177         5.691         5.680  
0.002  0.0600  2828.   -1.63   3.60   4.46  0.3000  1.0000         6.806         6.301         5.916         5.444         5.433  
0.002  0.0700  2858.   -1.52   3.57   5.00  0.2255  1.0000         6.518         6.008         5.632         5.172         5.160  
0.002  0.0720  2864.   -1.50   3.57   5.10  0.2090  1.0000         6.468         5.956         5.582         5.124         5.112  
0.002  0.0750  2865.   -1.42   3.51   5.53  0.5100  1.0000         6.290         5.779         5.405         4.947         4.934  
0.002  0.0800  2884.   -1.42   3.55   5.49  0.1520  1.0000         6.281         5.765         5.398         4.948         4.937  
0.002  0.0900  2904.   -1.34   3.53   5.95  0.1030  1.0000         6.078         5.558         5.197         4.755         4.744  
0.002  0.1000  2884.   -1.22   3.45   6.90  0.3220  1.0000         5.783         5.265         4.899         4.451         4.440  
0.002  0.1100  3014.   -1.25   3.59   6.12  0.0005  1.0000         5.886         5.331         5.004         4.608         4.608  
0.002  0.1300  3045.   -1.19   3.63   6.39  0.0000  1.0000         5.757         5.193         4.872         4.488         4.488  
0.002  0.1500  3080.   -1.13   3.65   6.71  0.0000  1.0000         5.615         5.040         4.728         4.357         4.357  
0.002  0.1750  3122.   -1.05   3.66   7.13  0.0000  1.0000         5.440         4.851         4.548         4.193         4.198  
0.002  0.2000  3162.   -0.99   3.67   7.53  0.0000  1.0000         5.282         4.679         4.385         4.046         4.057  
0.002  0.2500  3245.   -0.85   3.68   8.31  0.0000  1.0000         4.980         4.348         4.070         3.765         3.793  
0.002  0.3000  3313.   -0.75   3.69   9.03  0.0000  1.0000         4.732         4.077         3.811         3.534         3.575  
0.002  0.3500  3369.   -0.66   3.69   9.69  0.0000  1.0000         4.526         3.853         3.596         3.340         3.392  
0.002  0.4000  3416.   -0.58   3.70  10.33  0.0000  1.0000         4.345         3.656         3.408         3.169         3.230  
