# !  MKO filter system                                                                                                                                                                                    



#   t (Gyr) =  0.001
#---------------------------------------------------------------------------------------------------------------------------

age_Gyr  M_Msun   Teff(K)   L/Ls  lg(g)   R(Gm)   D      Li            J             H            Ks        Lprime             M'          
0.008  0.0600  2881.   -2.10   4.10   2.51  0.0000  1.0000         7.971         7.450         7.088         6.638         6.643  
0.008  0.0700  2927.   -2.01   4.11   2.70  0.0000  1.0000         7.765         7.237         6.886         6.451         6.455  
0.008  0.0720  2935.   -2.00   4.11   2.73  0.0000  1.0000         7.729         7.199         6.850         6.417         6.422  
0.008  0.0750  2950.   -1.93   4.06   2.93  0.0000  1.0000         7.557         7.026         6.680         6.252         6.255  
0.008  0.0800  2965.   -1.93   4.11   2.87  0.0000  1.0000         7.587         7.053         6.711         6.287         6.292  
0.008  0.0900  2997.   -1.86   4.11   3.05  0.0000  1.0000         7.418         6.880         6.545         6.132         6.136  
0.008  0.1000  3023.   -1.77   4.07   3.35  0.0000  1.0000         7.190         6.646         6.317         5.912         5.914  
0.008  0.1100  3108.   -1.75   4.14   3.25  0.0000  1.0000         7.167         6.607         6.295         5.918         5.915  
0.008  0.1300  3146.   -1.65   4.14   3.54  0.0000  1.0000         6.938         6.369         6.065         5.701         5.702  
0.008  0.1500  3183.   -1.56   4.14   3.82  0.0000  1.0000         6.739         6.161         5.865         5.514         5.520  
0.008  0.1750  3217.   -1.47   4.13   4.14  0.0000  1.0000         6.525         5.939         5.649         5.311         5.321  
0.008  0.2000  3244.   -1.40   4.13   4.45  0.0000  1.0000         6.344         5.752         5.466         5.137         5.151  
0.008  0.2500  3296.   -1.27   4.13   4.99  0.0000  1.0000         6.043         5.439         5.161         4.851         4.871  
0.008  0.3000  3343.   -1.17   4.13   5.46  0.0000  0.9980         5.804         5.190         4.918         4.622         4.649  
0.008  0.3500  3396.   -1.07   4.13   5.90  0.0000  0.9920         5.588         4.963         4.698         4.419         4.453  
0.008  0.4000  3451.   -0.98   4.12   6.32  0.0000  0.9760         5.386         4.749         4.492         4.230         4.274  
0.008  0.4500  3503.   -0.91   4.12   6.71  0.0000  0.9390         5.207         4.559         4.310         4.065         4.118  
0.008  0.5000  3554.   -0.84   4.12   7.05  0.0000  0.8550         5.057         4.400         4.159         3.928         3.988  
0.008  0.5700  3612.   -0.75   4.12   7.54  0.0000  0.6790         4.864         4.196         3.964         3.750         3.819  
0.008  0.6000  3636.   -0.72   4.12   7.73  0.0000  0.6140         4.789         4.116         3.888         3.682         3.754  
0.008  0.6200  3652.   -0.70   4.13   7.82  0.0000  0.5740         4.750         4.075         3.849         3.648         3.722  
0.008  0.7000  3707.   -0.62   4.13   8.32  0.0000  0.6010         4.569         3.884         3.668         3.484         3.565  
0.008  0.7500  3746.   -0.58   4.13   8.59  0.0000  0.6480         4.468         3.778         3.569         3.396         3.482  
0.008  0.8000  3782.   -0.53   4.13   8.89  0.0000  0.7120         4.364         3.670         3.467         3.305         3.395  
0.008  0.8500  3819.   -0.49   4.13   9.17  0.0000  0.7690         4.267         3.569         3.373         3.220         3.314  
0.008  0.9000  3860.   -0.45   4.13   9.39  0.0000  0.8170         4.179         3.480         3.290         3.148         3.246  
0.008  0.9500  3897.   -0.40   4.13   9.69  0.0000  0.8650         4.079         3.378         3.195         3.062         3.164  
0.008  1.0000  3974.   -0.35   4.13   9.91  0.0000  0.8950         3.967         3.270         3.098         2.983         3.092  
0.008  1.0500  4036.   -0.30   4.13  10.14  0.0000  0.9140         3.866         3.174         3.012         2.908         3.022  
0.008  1.1000  4092.   -0.26   4.13  10.37  0.0000  0.9310         3.767         3.083         2.930         2.836         2.952  
0.008  1.1500  4151.   -0.22   4.13  10.59  0.0000  0.9470         3.679         2.997         2.853         2.771         2.891  
0.008  1.2000  4210.   -0.17   4.13  10.87  0.0000  0.9610         3.580         2.901         2.767         2.697         2.820  
0.008  1.3000  4343.   -0.06   4.11  11.51  0.0000  0.9800         3.352         2.710         2.589         2.529         2.649  
0.008  1.4000  4508.    0.06   4.09  12.29  0.0000  0.9900         3.095         2.498         2.391         2.341         2.452  
0.009  0.0030   942.   -4.87   3.62   0.97  1.0000  1.0000        17.131        15.573        14.262        11.968        11.841  
0.009  0.0040  1093.   -4.59   3.73   0.99  1.0000  1.0000        15.527        14.206        13.291        11.284        11.421  
0.009  0.0050  1222.   -4.38   3.81   1.01  1.0000  1.0000        14.723        13.439        12.598        10.759        11.091  
0.009  0.0060  1346.   -4.19   3.87   1.03  1.0000  1.0000        14.031        12.845        11.942        10.321        10.828  
0.009  0.0070  1464.   -4.03   3.92   1.05  1.0000  1.0000        13.187        12.259        11.461        10.053        10.460  
0.009  0.0080  1573.   -3.89   3.96   1.07  1.0000  1.0000        12.637        11.887        11.121         9.889        10.125  
0.009  0.0090  1674.   -3.76   4.00   1.10  1.0000  1.0000        12.255        11.591        10.855         9.726         9.744  
0.009  0.0100  1770.   -3.65   4.03   1.12  1.0000  1.0000        11.795        11.202        10.546         9.537         9.718  
0.009  0.0120  1948.   -3.44   4.06   1.18  0.9850  1.0000        11.137        10.574        10.002         9.146         9.320  
0.009  0.0150  2195.   -3.11   4.04   1.35  0.8350  1.0000        10.353         9.808         9.286         8.562         8.672  
0.009  0.0200  2445.   -2.70   3.94   1.75  0.5100  1.0000         9.314         8.845         8.390         7.781         7.830  
0.009  0.0300  2624.   -2.37   3.91   2.21  0.0221  1.0000         8.566         8.080         7.652         7.116         7.133  
0.009  0.0400  2743.   -2.36   4.10   2.04  0.0000  1.0000         8.588         8.084         7.691         7.194         7.211  
0.009  0.0500  2828.   -2.18   4.07   2.38  0.0000  1.0000         8.149         7.636         7.261         6.793         6.801  
0.009  0.0600  2875.   -2.15   4.15   2.38  0.0000  1.0000         8.092         7.571         7.209         6.756         6.765  
0.009  0.0700  2922.   -2.06   4.15   2.56  0.0000  1.0000         7.885         7.357         7.006         6.568         6.575  
0.009  0.0720  2930.   -2.04   4.15   2.59  0.0000  1.0000         7.848         7.319         6.970         6.535         6.541  
0.009  0.0750  2946.   -1.98   4.11   2.77  0.0000  1.0000         7.689         7.158         6.812         6.382         6.387  
0.009  0.0800  2961.   -1.98   4.15   2.74  0.0000  1.0000         7.694         7.161         6.819         6.393         6.400  
0.009  0.0900  2996.   -1.91   4.15   2.91  0.0000  1.0000         7.525         6.986         6.652         6.238         6.244  
0.009  0.1000  3023.   -1.81   4.12   3.17  0.0000  1.0000         7.305         6.761         6.432         6.028         6.030  
0.009  0.1100  3110.   -1.79   4.18   3.10  0.0000  1.0000         7.269         6.709         6.397         6.020         6.018  
0.009  0.1300  3148.   -1.69   4.18   3.38  0.0000  1.0000         7.040         6.471         6.168         5.804         5.806  
0.009  0.1500  3184.   -1.60   4.17   3.66  0.0000  1.0000         6.830         6.253         5.957         5.606         5.612  
0.009  0.1750  3220.   -1.51   4.17   3.97  0.0000  1.0000         6.616         6.031         5.741         5.403         5.413  
0.009  0.2000  3248.   -1.43   4.17   4.26  0.0000  1.0000         6.435         5.843         5.558         5.229         5.243  
0.009  0.2500  3300.   -1.31   4.16   4.77  0.0000  0.9990         6.135         5.532         5.254         4.944         4.964  
0.009  0.3000  3343.   -1.20   4.16   5.26  0.0000  0.9950         5.886         5.274         5.002         4.705         4.732  
0.009  0.3500  3395.   -1.11   4.16   5.68  0.0000  0.9810         5.671         5.048         4.783         4.502         4.536  
0.009  0.4000  3451.   -1.02   4.16   6.06  0.0000  0.9370         5.480         4.847         4.589         4.325         4.368  
0.009  0.4500  3503.   -0.94   4.16   6.43  0.0000  0.8510         5.300         4.656         4.406         4.159         4.210  
0.009  0.5000  3555.   -0.88   4.16   6.76  0.0000  0.6920         5.150         4.496         4.254         4.022         4.081  
0.009  0.5700  3617.   -0.79   4.16   7.23  0.0000  0.4750         4.954         4.289         4.057         3.842         3.909  
0.009  0.6000  3642.   -0.75   4.16   7.41  0.0000  0.4310         4.878         4.210         3.981         3.775         3.845  
0.009  0.6200  3656.   -0.73   4.16   7.54  0.0000  0.4270         4.828         4.156         3.931         3.728         3.800  
0.009  0.7000  3714.   -0.66   4.16   7.97  0.0000  0.4750         4.657         3.977         3.761         3.575         3.654  
0.009  0.7500  3753.   -0.61   4.16   8.27  0.0000  0.5580         4.545         3.859         3.651         3.476         3.561  
0.009  0.8000  3790.   -0.56   4.16   8.52  0.0000  0.6300         4.452         3.762         3.559         3.395         3.484  
0.009  0.8500  3830.   -0.52   4.16   8.80  0.0000  0.7090         4.347         3.654         3.458         3.305         3.398  
0.009  0.9000  3872.   -0.47   4.16   9.04  0.0000  0.7740         4.253         3.558         3.369         3.227         3.323  
0.009  0.9500  3917.   -0.42   4.16   9.35  0.0000  0.8370         4.141         3.444         3.263         3.133         3.234  
0.009  1.0000  3993.   -0.37   4.16   9.58  0.0000  0.8750         4.026         3.333         3.163         3.050         3.160  
0.009  1.0500  4054.   -0.32   4.16   9.79  0.0000  0.8990         3.925         3.238         3.079         2.976         3.089  
0.009  1.1000  4114.   -0.28   4.16  10.05  0.0000  0.9230         3.819         3.137         2.987         2.896         3.012  
0.009  1.1500  4178.   -0.23   4.16  10.31  0.0000  0.9420         3.720         3.040         2.900         2.823         2.943  
0.009  1.2000  4250.   -0.18   4.15  10.59  0.0000  0.9590         3.605         2.940         2.809         2.740         2.862  
0.009  1.3000  4403.   -0.06   4.13  11.30  0.0000  0.9800         3.353         2.723         2.609         2.555         2.672  
0.009  1.4000  4606.    0.09   4.10  12.19  0.0000  0.9900         3.048         2.485         2.384         2.335         2.437  
0.010  0.0030   920.   -4.91   3.63   0.97  1.0000  1.0000        17.253        15.723        14.422        12.077        11.951  
0.010  0.0040  1064.   -4.64   3.74   0.98  1.0000  1.0000        15.660        14.399        13.510        11.434        11.568  
0.010  0.0050  1193.   -4.43   3.82   1.00  1.0000  1.0000        14.787        13.533        12.763        10.875        11.203  
0.010  0.0060  1316.   -4.24   3.88   1.02  1.0000  1.0000        14.168        12.960        12.082        10.413        10.986  
0.010  0.0070  1426.   -4.09   3.94   1.04  1.0000  1.0000        13.401        12.423        11.616        10.139        10.644  
0.010  0.0080  1536.   -3.94   3.98   1.06  1.0000  1.0000        12.754        11.979        11.240         9.949        10.279  
0.010  0.0090  1635.   -3.82   4.01   1.08  1.0000  1.0000        12.404        11.719        10.972         9.807         9.928  
0.010  0.0100  1731.   -3.70   4.04   1.10  1.0000  1.0000        12.037        11.404        10.705         9.629         9.688  
0.010  0.0120  1915.   -3.49   4.08   1.15  0.9800  1.0000        11.245        10.718        10.158         9.282         9.528  
0.010  0.0150  2188.   -3.13   4.05   1.34  0.7950  1.0000        10.388         9.838         9.314         8.585         8.695  
0.010  0.0200  2442.   -2.71   3.95   1.73  0.4305  1.0000         9.339         8.870         8.415         7.805         7.856  
0.010  0.0300  2622.   -2.43   3.97   2.06  0.0010  1.0000         8.718         8.230         7.806         7.270         7.292  
0.010  0.0400  2734.   -2.41   4.15   1.95  0.0000  1.0000         8.700         8.196         7.802         7.303         7.324  
0.010  0.0500  2821.   -2.23   4.12   2.25  0.0000  1.0000         8.283         7.769         7.394         6.924         6.936  
0.010  0.0600  2871.   -2.19   4.18   2.28  0.0000  1.0000         8.190         7.668         7.306         6.852         6.863  
0.010  0.0700  2919.   -2.10   4.19   2.45  0.0000  1.0000         7.981         7.453         7.102         6.663         6.671  
0.010  0.0720  2927.   -2.08   4.19   2.48  0.0000  1.0000         7.945         7.416         7.066         6.630         6.638  
0.010  0.0750  2942.   -2.02   4.16   2.64  0.0000  1.0000         7.797         7.266         6.920         6.488         6.495  
0.010  0.0800  2958.   -2.02   4.19   2.62  0.0000  1.0000         7.790         7.257         6.914         6.488         6.495  
0.010  0.0900  2993.   -1.94   4.19   2.79  0.0000  1.0000         7.620         7.082         6.747         6.331         6.338  
0.010  0.1000  3024.   -1.85   4.16   3.03  0.0000  1.0000         7.409         6.866         6.537         6.132         6.136  
0.010  0.1100  3112.   -1.82   4.22   2.97  0.0000  1.0000         7.359         6.799         6.488         6.111         6.110  
0.010  0.1300  3149.   -1.72   4.21   3.26  0.0000  1.0000         7.118         6.550         6.247         5.883         5.886  
0.010  0.1500  3186.   -1.64   4.21   3.50  0.0000  1.0000         6.921         6.345         6.049         5.698         5.704  
0.010  0.1750  3222.   -1.55   4.21   3.80  0.0000  1.0000         6.707         6.123         5.834         5.495         5.505  
0.010  0.2000  3251.   -1.46   4.20   4.10  0.0000  1.0000         6.513         5.923         5.638         5.309         5.323  
0.010  0.2500  3303.   -1.34   4.20   4.59  0.0000  0.9970         6.215         5.614         5.336         5.025         5.046  
0.010  0.3000  3345.   -1.23   4.19   5.06  0.0000  0.9870         5.968         5.358         5.086         4.788         4.814  
0.010  0.3500  3396.   -1.14   4.19   5.47  0.0000  0.9530         5.753         5.133         4.868         4.585         4.618  
0.010  0.4000  3451.   -1.05   4.19   5.86  0.0000  0.8760         5.551         4.920         4.662         4.397         4.439  
0.010  0.4500  3503.   -0.98   4.19   6.20  0.0000  0.7100         5.382         4.741         4.491         4.241         4.292  
0.010  0.5000  3555.   -0.90   4.19   6.55  0.0000  0.5220         5.219         4.569         4.326         4.092         4.150  
0.010  0.5700  3619.   -0.82   4.19   6.96  0.0000  0.3100         5.033         4.372         4.139         3.923         3.989  
0.010  0.6000  3645.   -0.78   4.19   7.13  0.0000  0.2890         4.958         4.293         4.064         3.855         3.924  
0.010  0.6200  3660.   -0.76   4.19   7.26  0.0000  0.2940         4.907         4.239         4.013         3.809         3.880  
0.010  0.7000  3719.   -0.68   4.19   7.72  0.0000  0.3820         4.724         4.047         3.831         3.644         3.722  
0.010  0.7500  3758.   -0.64   4.19   7.97  0.0000  0.4630         4.623         3.941         3.732         3.556         3.639  
0.010  0.8000  3795.   -0.59   4.19   8.26  0.0000  0.5680         4.516         3.829         3.625         3.461         3.548  
0.010  0.8500  3839.   -0.54   4.19   8.51  0.0000  0.6550         4.414         3.724         3.528         3.375         3.467  
0.010  0.9000  3882.   -0.50   4.19   8.77  0.0000  0.7370         4.314         3.622         3.433         3.291         3.387  
0.010  0.9500  3939.   -0.44   4.19   9.04  0.0000  0.8100         4.198         3.505         3.326         3.198         3.300  
0.010  1.0000  4011.   -0.39   4.19   9.29  0.0000  0.8570         4.081         3.391         3.224         3.111         3.221  
0.010  1.0500  4075.   -0.34   4.19   9.52  0.0000  0.8890         3.970         3.287         3.130         3.030         3.143  
0.010  1.1000  4142.   -0.29   4.18   9.77  0.0000  0.9160         3.861         3.182         3.036         2.949         3.066  
0.010  1.1500  4212.   -0.23   4.18  10.06  0.0000  0.9390         3.747         3.073         2.937         2.864         2.985  
0.010  1.2000  4291.   -0.18   4.17  10.38  0.0000  0.9570         3.613         2.961         2.833         2.767         2.889  
0.010  1.3000  4476.   -0.04   4.14  11.15  0.0000  0.9800         3.328         2.722         2.612         2.561         2.674  
0.010  1.4000  4707.    0.13   4.10  12.21  0.0000  0.9900         2.979         2.444         2.350         2.305         2.402  
0.020  0.0020   614.   -5.67   3.51   0.90  1.0000  1.0000        17.140        17.287        17.333        13.990        14.722  
0.020  0.0030   753.   -5.31   3.68   0.92  1.0000  1.0000        17.100        16.390        15.793        13.039        13.302  
0.020  0.0040   877.   -5.03   3.79   0.93  1.0000  1.0000        16.353        15.603        14.951        12.440        12.556  
0.020  0.0050   991.   -4.81   3.88   0.94  1.0000  1.0000        15.268        14.598        14.193        11.894        12.214  
0.020  0.0060  1100.   -4.62   3.95   0.95  1.0000  1.0000        14.542        13.686        13.408        11.321        11.898  
0.020  0.0070  1195.   -4.47   4.01   0.96  1.0000  1.0000        14.046        13.130        12.813        10.880        11.575  
0.020  0.0080  1293.   -4.32   4.06   0.96  1.0000  1.0000        13.917        12.871        12.273        10.568        11.453  
0.020  0.0090  1386.   -4.20   4.10   0.97  1.0000  1.0000        13.451        12.560        11.915        10.360        11.081  
0.020  0.0100  1483.   -4.07   4.14   0.98  0.9950  1.0000        12.982        12.215        11.574        10.174        10.686  
0.020  0.0120  1714.   -3.77   4.17   1.04  0.9050  1.0000        12.323        11.630        10.891         9.732         9.742  
0.020  0.0150  2149.   -3.19   4.08   1.28  0.4820  1.0000        10.570         9.997         9.462         8.707         8.813  
0.020  0.0200  2362.   -2.93   4.10   1.45  0.0062  1.0000         9.843         9.370         8.914         8.272         8.365  
0.020  0.0300  2506.   -2.85   4.31   1.40  0.0000  1.0000         9.698         9.214         8.799         8.214         8.288  
0.020  0.0400  2649.   -2.71   4.39   1.47  0.0000  1.0000         9.400         8.900         8.504         7.978         8.038  
0.020  0.0500  2766.   -2.53   4.39   1.65  0.0000  1.0000         9.015         8.501         8.125         7.636         7.674  
0.020  0.0600  2833.   -2.44   4.42   1.75  0.0000  1.0000         8.814         8.292         7.929         7.461         7.492  
0.020  0.0700  2891.   -2.34   4.42   1.88  0.0000  1.0000         8.586         8.058         7.705         7.256         7.277  
0.020  0.0720  2901.   -2.33   4.42   1.91  0.0000  1.0000         8.547         8.018         7.667         7.221         7.241  
0.020  0.0750  2917.   -2.28   4.40   1.98  0.0000  1.0000         8.446         7.915         7.567         7.126         7.145  
0.020  0.0800  2936.   -2.26   4.42   2.02  0.0000  1.0000         8.391         7.857         7.513         7.078         7.096  
0.020  0.0900  2972.   -2.18   4.42   2.14  0.0000  1.0000         8.219         7.681         7.345         6.921         6.936  
0.020  0.1000  3012.   -2.10   4.40   2.30  0.0000  1.0000         8.024         7.481         7.152         6.740         6.752  
0.020  0.1100  3121.   -2.04   4.44   2.30  0.0000  0.9990         7.905         7.347         7.038         6.660         6.663  
0.020  0.1300  3171.   -1.93   4.43   2.52  0.0000  0.9960         7.653         7.087         6.787         6.426         6.432  
0.020  0.1500  3209.   -1.85   4.43   2.71  0.0000  0.9830         7.453         6.881         6.588         6.239         6.248  
0.020  0.1750  3244.   -1.75   4.42   2.96  0.0000  0.9450         7.232         6.654         6.366         6.028         6.040  
0.020  0.2000  3279.   -1.67   4.42   3.19  0.0000  0.8590         7.036         6.452         6.170         5.843         5.857  
0.020  0.2500  3336.   -1.53   4.41   3.60  0.0000  0.5330         6.717         6.123         5.849         5.539         5.560  
0.020  0.3000  3381.   -1.42   4.40   3.98  0.0000  0.2220         6.457         5.855         5.586         5.290         5.315  
0.020  0.3500  3422.   -1.33   4.40   4.31  0.0000  0.0534         6.250         5.642         5.378         5.094         5.124  
0.020  0.4000  3464.   -1.25   4.40   4.62  0.0000  0.0107         6.058         5.444         5.185         4.913         4.949  
0.020  0.4500  3510.   -1.18   4.40   4.89  0.0000  0.0025         5.895         5.274         5.020         4.761         4.804  
0.020  0.5000  3554.   -1.11   4.39   5.18  0.0000  0.0016         5.736         5.109         4.861         4.613         4.661  
0.020  0.5700  3618.   -1.02   4.39   5.54  0.0000  0.0024         5.535         4.900         4.660         4.429         4.485  
0.020  0.6000  3648.   -0.98   4.39   5.68  0.0000  0.0036         5.454         4.815         4.580         4.357         4.415  
0.020  0.6200  3667.   -0.96   4.39   5.76  0.0000  0.0048         5.408         4.767         4.534         4.316         4.376  
0.020  0.7000  3750.   -0.86   4.38   6.20  0.0000  0.0294         5.183         4.530         4.311         4.115         4.185  
0.020  0.7500  3801.   -0.80   4.38   6.47  0.0000  0.0856         5.049         4.389         4.178         3.997         4.072  
0.020  0.8000  3864.   -0.73   4.37   6.74  0.0000  0.2080         4.907         4.241         4.040         3.877         3.960  
0.020  0.8500  3938.   -0.66   4.36   7.04  0.0000  0.3780         4.752         4.080         3.893         3.751         3.842  
0.020  0.9000  4039.   -0.58   4.35   7.33  0.0000  0.5510         4.578         3.905         3.737         3.619         3.722  
0.020  0.9500  4152.   -0.50   4.33   7.64  0.0000  0.6920         4.394         3.726         3.577         3.484         3.596  
0.020  1.0000  4287.   -0.40   4.32   8.01  0.0000  0.7910         4.181         3.536         3.404         3.333         3.452  
0.020  1.0500  4446.   -0.29   4.29   8.44  0.0000  0.8570         3.953         3.338         3.226         3.174         3.288  
0.020  1.1000  4638.   -0.17   4.26   8.98  0.0000  0.9020         3.687         3.133         3.034         2.988         3.087  
0.020  1.1500  4866.   -0.02   4.21   9.69  0.0000  0.9330         3.382         2.894         2.807         2.767         2.852  
0.020  1.2000  5133.    0.16   4.15  10.65  0.0000  0.9550         3.028         2.604         2.532         2.498         2.569  
0.020  1.3000  5844.    0.52   4.05  12.46  0.0000  0.9790         2.363         2.067         2.025         2.011         2.044  
0.020  1.4000  6255.    0.47   4.25  10.22  0.0000  0.9900         2.635         2.403         2.366         2.359         2.370  
0.030  0.0020   558.   -5.85   3.53   0.89  1.0000  1.0000        17.408        18.000        18.459        14.598        15.116  
0.030  0.0030   669.   -5.53   3.70   0.90  1.0000  1.0000        16.802        16.791        16.730        13.613        14.052  
0.030  0.0040   780.   -5.26   3.81   0.90  1.0000  1.0000        16.517        16.126        15.743        12.992        13.211  
0.030  0.0050   881.   -5.04   3.90   0.91  1.0000  1.0000        15.525        15.294        15.077        12.520        12.786  
0.030  0.0060   980.   -4.85   3.98   0.91  1.0000  1.0000        14.697        14.436        14.401        12.031        12.510  
0.030  0.0070  1079.   -4.68   4.04   0.92  1.0000  1.0000        14.316        13.725        13.670        11.508        12.142  
0.030  0.0080  1161.   -4.55   4.10   0.92  1.0000  1.0000        14.137        13.358        13.154        11.148        11.775  
0.030  0.0090  1249.   -4.42   4.14   0.93  1.0000  1.0000        13.954        13.037        12.652        10.823        11.588  
0.030  0.0100  1337.   -4.29   4.18   0.93  0.9900  1.0000        13.661        12.752        12.228        10.576        11.405  
0.030  0.0120  1623.   -3.90   4.21   1.00  0.8300  1.0000        12.542        11.864        11.175         9.963        10.192  
0.030  0.0150  2099.   -3.27   4.12   1.23  0.2415  1.0000        10.786        10.185         9.638         8.850         8.951  
0.030  0.0200  2162.   -3.28   4.30   1.15  0.0000  1.0000        10.766        10.193         9.691         8.935         9.056  
0.030  0.0300  2410.   -3.05   4.44   1.20  0.0000  1.0000        10.146         9.666         9.254         8.631         8.754  
0.030  0.0400  2591.   -2.87   4.51   1.28  0.0000  1.0000         9.762         9.266         8.871         8.324         8.412  
0.030  0.0500  2722.   -2.69   4.52   1.42  0.0000  1.0000         9.386         8.875         8.496         7.994         8.049  
0.030  0.0600  2805.   -2.58   4.54   1.52  0.0000  1.0000         9.147         8.625         8.262         7.786         7.830  
0.030  0.0700  2871.   -2.48   4.54   1.64  0.0000  1.0000         8.915         8.386         8.033         7.578         7.610  
0.030  0.0720  2881.   -2.46   4.54   1.66  0.0000  1.0000         8.875         8.345         7.994         7.542         7.572  
0.030  0.0750  2899.   -2.42   4.53   1.71  0.0000  1.0000         8.783         8.252         7.903         7.457         7.483  
0.030  0.0800  2921.   -2.39   4.54   1.75  0.0000  0.9990         8.714         8.180         7.836         7.396         7.421  
0.030  0.0900  2962.   -2.31   4.54   1.86  0.0000  0.9980         8.540         8.001         7.665         7.237         7.260  
0.030  0.1000  2998.   -2.24   4.53   1.98  0.0000  0.9950         8.360         7.818         7.488         7.071         7.090  
0.030  0.1100  3116.   -2.16   4.56   1.99  0.0000  0.9690         8.219         7.663         7.354         6.973         6.979  
0.030  0.1300  3172.   -2.06   4.56   2.17  0.0000  0.8650         7.973         7.409         7.111         6.747         6.756  
0.030  0.1500  3218.   -1.97   4.56   2.35  0.0000  0.6620         7.757         7.187         6.896         6.547         6.558  
0.030  0.1750  3262.   -1.87   4.55   2.56  0.0000  0.3760         7.528         6.951         6.667         6.331         6.344  
0.030  0.2000  3298.   -1.78   4.54   2.76  0.0000  0.1690         7.330         6.748         6.469         6.144         6.159  
0.030  0.2500  3360.   -1.65   4.53   3.11  0.0000  0.0174         7.011         6.421         6.149         5.842         5.862  
0.030  0.3000  3414.   -1.53   4.53   3.44  0.0000  0.0012         6.745         6.147         5.882         5.590         5.615  
0.030  0.3500  3453.   -1.44   4.52   3.74  0.0000  0.0001         6.531         5.928         5.667         5.386         5.417  
0.030  0.4000  3490.   -1.36   4.52   4.01  0.0000  0.0000         6.344         5.737         5.479         5.208         5.244  
0.030  0.4500  3524.   -1.29   4.52   4.27  0.0000  0.0000         6.181         5.570         5.315         5.053         5.093  
0.030  0.5000  3562.   -1.22   4.51   4.53  0.0000  0.0000         6.020         5.405         5.155         4.902         4.946  
0.030  0.5700  3627.   -1.13   4.50   4.87  0.0000  0.0000         5.811         5.188         4.946         4.709         4.760  
0.030  0.6000  3658.   -1.08   4.50   5.04  0.0000  0.0001         5.712         5.086         4.848         4.619         4.673  
0.030  0.6200  3680.   -1.05   4.49   5.14  0.0000  0.0002         5.652         5.023         4.788         4.565         4.621  
0.030  0.7000  3790.   -0.93   4.47   5.58  0.0000  0.0056         5.385         4.742         4.523         4.330         4.398  
0.030  0.7500  3877.   -0.85   4.46   5.87  0.0000  0.0366         5.201         4.547         4.345         4.177         4.255  
0.030  0.8000  3986.   -0.75   4.44   6.20  0.0000  0.1490         4.991         4.327         4.145         4.008         4.099  
0.030  0.8500  4143.   -0.64   4.42   6.56  0.0000  0.3330         4.737         4.075         3.922         3.822         3.930  
0.030  0.9000  4342.   -0.50   4.39   6.96  0.0000  0.5290         4.445         3.809         3.685         3.622         3.739  
0.030  0.9500  4560.   -0.36   4.36   7.45  0.0000  0.6850         4.144         3.566         3.461         3.413         3.518  
0.030  1.0000  4850.   -0.18   4.31   8.09  0.0000  0.7890         3.782         3.290         3.202         3.161         3.247  
0.030  1.0500  5183.    0.01   4.25   8.83  0.0000  0.8560         3.410         2.998         2.927         2.894         2.961  
0.030  1.1000  5511.    0.16   4.23   9.29  0.0000  0.9020         3.140         2.791         2.735         2.713         2.766  
0.030  1.1500  5681.    0.15   4.31   8.63  0.0000  0.9330         3.225         2.905         2.855         2.837         2.880  
0.030  1.2000  5770.    0.18   4.33   8.64  0.0000  0.9550         3.186         2.879         2.833         2.818         2.855  
0.030  1.3000  6030.    0.34   4.28   9.54  0.0000  0.9790         2.865         2.602         2.560         2.550         2.573  
0.030  1.4000  6586.    0.55   4.25  10.16  0.0000  0.9900         2.536         2.346         2.316         2.313         2.312  
0.040  0.0020   516.   -6.00   3.54   0.87  1.0000  1.0000        17.692        18.581        19.372        15.073        15.368  
0.040  0.0030   618.   -5.68   3.71   0.88  1.0000  1.0000        16.948        17.275        17.456        14.039        14.445  
0.040  0.0040   714.   -5.43   3.83   0.89  1.0000  1.0000        16.400        16.474        16.397        13.409        13.679  
0.040  0.0050   806.   -5.21   3.92   0.89  1.0000  1.0000        15.817        15.762        15.653        12.923        13.219  
0.040  0.0060   899.   -5.02   4.00   0.89  1.0000  1.0000        14.757        14.936        15.077        12.517        12.915  
0.040  0.0070   994.   -4.84   4.06   0.90  1.0000  1.0000        14.398        14.225        14.361        12.001        12.566  
0.040  0.0080  1072.   -4.71   4.12   0.90  1.0000  1.0000        14.308        13.834        13.808        11.633        12.187  
0.040  0.0090  1153.   -4.58   4.17   0.90  1.0000  1.0000        14.154        13.460        13.307        11.278        11.848  
0.040  0.0100  1239.   -4.45   4.21   0.91  0.9900  1.0000        13.967        13.110        12.808        10.940        11.658  
0.040  0.0120  1564.   -3.99   4.23   0.97  0.7700  1.0000        12.701        12.018        11.382        10.104        10.488  
0.040  0.0150  2025.   -3.39   4.17   1.15  0.0870  1.0000        11.075        10.433         9.860         9.031         9.114  
0.040  0.0200  2020.   -3.49   4.39   1.03  0.0000  1.0000        11.401        10.703        10.135         9.276         9.373  
0.040  0.0300  2324.   -3.19   4.52   1.09  0.0000  1.0000        10.480         9.981         9.563         8.896         9.041  
0.040  0.0400  2535.   -2.98   4.58   1.17  0.0000  1.0000        10.023         9.530         9.141         8.566         8.670  
0.040  0.0500  2687.   -2.80   4.60   1.29  0.0000  1.0000         9.635         9.125         8.748         8.233         8.304  
0.040  0.0600  2782.   -2.68   4.62   1.39  0.0000  1.0000         9.372         8.850         8.488         8.005         8.060  
