# x0037 filter
#
# from t4.fig
#
3.83 0.478467379319236 
3.84 0.478453660637576 
3.85 0.478451186457599 
3.86 0.478461670302374 
3.87 0.478486825694972 
3.88 0.478528366158464 
3.89 0.47858800521592 
3.9 0.478667456390412 
3.91 0.478768433205009 
3.92 0.478892649182783 
3.93 0.479041817846804 
3.94 0.479217652720143 
3.95 0.479421867325871 
3.96 0.479656175187058 
3.97 0.479922289826775 
3.98 0.480221924768093 
3.99 0.480556793534081 
4 0.480928609647812 
4.01 0.481339086632356 
4.02 0.481789938010783 
4.03 0.482282877306163 
4.04 0.482819618041569 
4.05 0.48340187374007 
4.06 0.484031357924737 
4.07 0.484709784118641 
4.08 0.485438865844852 
4.09 0.486220316626441 
4.1 0.487055849986479 
4.11 0.487947179448036 
4.12 0.488896018534184 
4.13 0.489904080767992 
4.14 0.529964212107109 
4.15 0.666944442302001 
4.16 0.858183300118028 
4.17 1.0580410119372 
4.18 1.2208778041415 
4.19 1.30359713632944 
4.2 1.34585871234062 
4.21 1.37897990707701 
4.22 1.4053859426268 
4.23 1.42750204107821 
4.24 1.44775342451941 
4.25 1.46856531503861 
4.26 1.492362934724 
4.27 1.52157150566378 
4.28 1.55826111561877 
4.29 1.59937481415945 
4.3 1.65313856278589 
4.31 1.73456177063581 
4.32 1.91886226513662 
4.33 2.21344832005363 
4.34 2.58687294694729 
4.35 3.007689157378 
4.36 3.4580813110509 
4.37 3.98904329716625 
4.38 4.60646147444936 
4.39 5.30689701140602 
4.4 6.08691107654181 
4.41 6.9430648383625 
4.42 7.87191946537379 
4.43 8.87003612608141 
4.44 9.93397598899115 
4.45 11.1074191176356 
4.46 12.5195738442838 
4.47 14.1808500095738 
4.48 16.0943035486497 
4.49 18.3218184823311 
4.5 21.0383473366278 
4.51 24.3052029239747 
4.52 28.2538672139979 
4.53 33.7222386788022 
4.54 39.9760733688087 
4.55 46.2914823092335 
4.56 52.9817672505864 
4.57 59.9447629636359 
4.58 67.3364740062911 
4.59 75.5910123933582 
4.6 82.1560593847655 
4.61 86.581008706494 
4.62 89.7665846224563 
4.63 91.6904687144093 
4.64 92.6973842752606 
4.65 93.0739647012433 
4.66 93.3036339858911 
4.67 93.4722045485285 
4.68 93.6232256166656 
4.69 93.734023478417 
4.7 93.7781027903694 
4.71 93.4746797307829 
4.72 92.8147849497626 
4.73 91.5021886295173 
4.74 89.122167363345 
4.75 85.7080149031682 
4.76 78.4453182903023 
4.77 69.2387346560226 
4.78 60.4156178125785 
4.79 51.4222668551784 
4.8 43.0896649412163 
4.81 35.8460070090221 
4.82 29.0875564221435 
4.83 23.3965049358821 
4.84 19.3442670126235 
4.85 16.3610754201731 
4.86 13.5378877624709 
4.87 10.8834942964434 
4.88 8.95615314940324 
4.89 7.54044687659242 
4.9 6.51219737892507 
4.91 5.61445892500506 
4.92 4.82525465263395 
4.93 4.16840979002011 
4.94 3.66774956537188 
4.95 3.32890914311666 
4.96 3.05217045887132 
4.97 2.81327284396027 
4.98 2.60593984077131 
4.99 2.42389499169215 
5 2.26086183911054 
5.01 2.11056392541423 
5.02 1.96672479299095 
5.03 1.82306798422843 
5.04 1.67391490375257 
5.05 1.51976604625196 
5.06 1.36468087383399 
5.07 1.21275773644529 
5.08 1.06809498403247 
5.09 0.93479096654211 
5.1 0.816944033920826 
5.11 0.718652536115211 
5.12 0.644014823071884 
5.13 0.597129244737441 
5.14 0.577537749746107 
5.15 0.562718632479235 
5.16 0.54903215670379 
5.17 0.536497177983045 
5.18 0.525132551880267 
5.19 0.514957133958729 
5.2 0.505989779781701 
5.21 0.498249344912453 
5.22 0.491754684914256 
5.23 0.48652465535038 
5.24 0.482578111784096 
5.25 0.479933909778674 
