# BARR Ks band cold test witness 2150/350 @ 77K
# HALF PEAK POINTS = 2.0038um to 2.2297.8um
#
# from t6.fig
#
1.8 0.0139345959478066 
1.81 0.0140664990942527 
1.82 0.0145598393408114 
1.83 0.0155067519648096 
1.84 0.0169993722435744 
1.85 0.0191298354544327 
1.86 0.0219902768747115 
1.87 0.0256728317817378 
1.88 0.0302696354528386 
1.89 0.0358728231653409 
1.9 0.0425745301965716 
1.91 0.0504668918238577 
1.92 0.0596420433245263 
1.93 0.0701921199759042 
1.94 0.0822092570553183 
1.95 0.0957855898400962 
1.96 0.20035650919145 
1.97 0.81369651311614 
1.98 2.61843136570046 
1.99 8.1989052300259 
2 27.0029973681644 
2.01 69.7181788815439 
2.02 91.0546498325676 
2.03 92.5351185173194 
2.04 92.7538075153669 
2.05 90.612945481965 
2.06 91.5318814352051 
2.07 93.1622963698024 
2.08 92.7857566552986 
2.09 92.1786469463322 
2.1 91.9427105637746 
2.11 92.4841108218885 
2.12 94.0180678445399 
2.13 94.2875939509736 
2.14 92.2118776411003 
2.15 89.3096206378831 
2.16 89.2640171724574 
2.17 90.9229620478368 
2.18 91.851408762136 
2.19 91.2826848030261 
2.2 91.3241997882243 
2.21 91.9327444845091 
2.22 91.230285955774 
2.23 89.5316999638625 
2.24 89.6251840238241 
2.25 91.2399810329309 
2.26 90.1737076003405 
2.27 86.1480280038518 
2.28 84.7681359467223 
2.29 82.7327407312461 
2.3 50.3461568959216 
2.31 13.8447435138153 
2.32 3.55082456185425 
2.33 1.09269826189719 
2.34 0.22023673490078 
2.35 0.00202263506296855 
2.36 -0.00284833964341206 
2.37 -0.00493695002991661 
2.38 -0.00233235191772626 
2.39 0.0232165215044955 
