# BARR MKO H band cold test witness 1635/290
# CWL = 1.63465um BW = 0.2907um
#
# from t5.fig
#
1.39 0.412801584407904 
1.4 0.363042970603992 
1.41 0.328471727557224 
1.42 0.306322460236912 
1.43 0.293829773612367 
1.44 0.288228272652901 
1.45 0.286752562327825 
1.46 0.38246293389864 
1.47 1.33447808772615 
1.48 8.46641470439045 
1.49 45.9332617775714 
1.5 82.5689273976381 
1.51 93.5034984971447 
1.52 93.2381914505356 
1.53 95.7178518276174 
1.54 95.7918116810706 
1.55 95.8794121691007 
1.56 96.5433663040988 
1.57 97.0517839205627 
1.58 95.7231715824416 
1.59 95.417368537635 
1.6 95.4890132352683 
1.61 94.1147507054971 
1.62 93.6919955860689 
1.63 94.555314925538 
1.64 94.8951027756644 
1.65 94.5848153877898 
1.66 94.3252636306458 
1.67 94.9234083051569 
1.68 95.6702231978242 
1.69 96.4971733169311 
1.7 97.295417323248 
1.71 97.0910318998794 
1.72 96.0538672670309 
1.73 96.2998611269201 
1.74 96.7528251988428 
1.75 95.3978232153835 
1.76 94.2898960476053 
1.77 94.2534604292909 
1.78 51.1317895903294 
1.79 12.8837327680498 
1.8 2.46940382575676 
1.81 0.78973821604548 
1.82 0.284837480194751 
1.83 0.194758418966749 
1.84 0.13453000438824 
1.85 0.0985399577954095 
1.86 0.0821159936016721 
1.87 0.0701248161219821 
1.88 0.0591725274774591 
1.89 0.0492350112041299 
1.9 0.0402881508380217 
1.91 0.0323078299151607 
1.92 0.0252699319715747 
1.93 0.0191503405432899 
1.94 0.0139249391663337 
1.95 0.0095696113767327 
1.96 0.00606024071051409 
1.97 0.0033727107037045 
1.98 0.00148290489233107 
1.99 0.000366706812420588 
