# OCLI W04701-4M
# 9/10/04
# cold test witness
# 77K CWL = 4.632um Half BW = 0.592um
#
# from t2.fig
3.99 0.0729256952826477 
4 0.0104741585927138 
4.01 -0.0421757479394753 
4.02 -0.0858607237188247 
4.03 -0.121417468150228 
4.04 -0.149682680638592 
4.05 -0.171493060588818 
4.06 -0.187685307405808 
4.07 -0.199096120494461 
4.08 -0.206562199259681 
4.09 -0.210920243106369 
4.1 -0.213006951439427 
4.11 -0.213659023663757 
4.12 -0.210917110214162 
4.13 -0.162239302147811 
4.14 -0.0674123541645024 
4.15 0.0547075346382114 
4.16 0.236771082652259 
4.17 0.527467814651786 
4.18 0.912668671359824 
4.19 1.37804237916905 
4.2 1.91053625582015 
4.21 2.71878126088429 
4.22 3.76843235502932 
4.23 4.78312990648215 
4.24 5.73003566649119 
4.25 7.01662908631899 
4.26 8.8252614818022 
4.27 10.1921924556911 
4.28 11.8483481277248 
4.29 14.5483677562511 
4.3 17.90771144768 
4.31 21.6584149696971 
4.32 26.0043867951501 
4.33 30.8189780537735 
4.34 36.1233428230655 
4.35 42.809545474146 
4.36 52.7302243802291 
4.37 61.0967786782672 
4.38 68.4411610468912 
4.39 76.1077171606504 
4.4 82.316336001547 
4.41 86.7908901658477 
4.42 90.1150529835153 
4.43 92.0320714478803 
4.44 93.2560803652567 
4.45 94.1422496213444 
4.46 94.913110698189 
4.47 95.2844132045926 
4.48 95.3153913779639 
4.49 95.3336790778155 
4.5 95.339192202214 
4.51 95.2409657923455 
4.52 95.0045615946355 
4.53 94.6892440141766 
4.54 94.3542774560612 
4.55 94.0544181594338 
4.56 93.7585029442065 
4.57 93.4408054997449 
4.58 93.09502704663 
4.59 92.6831517359092 
4.6 92.2258100595602 
4.61 91.7866046259249 
4.62 91.4259693419825 
4.63 91.0782139221544 
4.64 90.7866509870443 
4.65 90.6822967010636 
4.66 90.9719268369837 
4.67 91.1506988737943 
4.68 91.1694847039018 
4.69 91.1805586406978 
4.7 91.2033492921153 
4.71 91.3228920800237 
4.72 91.5146821150959 
4.73 91.6681165282137 
4.74 91.6923209412729 
4.75 91.6600000542976 
4.76 91.5999723583151 
4.77 91.5085701194178 
4.78 91.2014138025374 
4.79 90.7203639194505 
4.8 90.2146961044535 
4.81 89.7191646987196 
4.82 89.1183837391666 
4.83 88.5755663131923 
4.84 88.2666937256797 
4.85 88.2533302990911 
4.86 88.2785974009184 
4.87 88.3000810316918 
4.88 87.8622934320039 
4.89 86.6202684076769 
4.9 84.5418399772299 
4.91 80.4336766918577 
4.92 74.429753417584 
4.93 66.1890487976688 
4.94 55.2481446082342 
4.95 45.431240874451 
4.96 36.1992804601728 
4.97 28.0960862728439 
4.98 21.8803803423934 
4.99 17.0307844993235 
5 13.3487707758329 
5.01 10.707786100573 
5.02 8.80790739997998 
5.03 7.25519088356384 
5.04 5.8301384174519 
5.05 4.64400962245918 
5.06 3.85122587862623 
5.07 3.23684054414971 
5.08 2.73149383552433 
5.09 2.2926908961361 
5.1 1.87095596684329 
5.11 1.47017097722783 
5.12 1.1529932952018 
5.13 0.979562025825553 
5.14 0.885297454105367 
5.15 0.814851676590199 
5.16 0.759073502221543 
5.17 0.708811739940892 
5.18 0.655024364901903 
5.19 0.596016235553219 
5.2 0.536217486024738 
5.21 0.479091455404647 
5.22 0.428101482781131 
5.23 0.386710907242392 
5.24 0.358383067876616 
5.25 0.341566253674488 
5.26 0.326078356415141 
5.27 0.311476351928126 
5.28 0.297787269276993 
5.29 0.285038137525291 
5.3 0.27325598573657 
5.31 0.26246784297438 
5.32 0.252700738302269 
5.33 0.243981700783789 
5.34 0.236337759482487 
5.35 0.229795943461913 
5.36 0.224383281785618 
5.37 0.220126803517151 
5.38 0.217053537720061 
5.39 0.215190513457898 
5.4 0.214564759794211 
